19.002848,C,swallowing
19.002862,A,swallowing
19.002862,E,swallowing
19.002891,G,swallowing
19.002885,B,swallowing
19.002902,F,swallowing
19.002886,D,swallowing
19.202802,K,idle
19.202814,J,idle
19.202862,K,slurping,0
19.202866,J,slurping,0
19.402936,I,swallowing
19.403263,H,swallowing
20.002936,C,idle
20.002964,A,idle
20.002969,E,idle
20.002974,F,idle
20.002983,G,idle
20.002997,B,idle
20.003013,C,slurping,1
20.003014,E,slurping,1
20.003014,A,slurping,2
20.003027,F,slurping,0
20.003026,D,idle
20.003036,G,slurping,2
20.003037,B,slurping,1
20.003066,D,slurping,2
20.202936,K,swallowing
20.202948,J,swallowing
20.403026,I,idle
20.403074,I,slurping,0
20.403334,H,idle
20.403382,H,slurping,0
21.003101,F,swallowing
21.003111,E,swallowing
21.003117,G,swallowing
21.003103,C,swallowing
21.003113,A,swallowing
21.003145,B,swallowing
21.003166,D,swallowing
21.203038,J,idle
21.203133,J,slurping,1
21.203037,K,idle
21.203203,K,slurping,1
21.403161,I,swallowing
21.403464,H,swallowing
22.003200,G,idle
22.003207,C,idle
22.003208,E,idle
22.003228,A,idle
22.003209,F,idle
22.003213,B,idle
22.003267,G,slurping,2
22.003270,E,slurping,0
22.003272,A,slurping,1
22.003290,B,slurping,2
22.003305,F,slurping,0
22.003271,C,slurping,0
22.003354,D,idle
22.003381,D,slurping,2
22.203220,J,swallowing
22.203281,K,swallowing
22.403253,I,idle
22.403325,I,slurping,1
22.403548,H,idle
22.403599,H,slurping,1
23.003340,G,swallowing
23.003346,E,swallowing
23.003364,B,swallowing
23.003382,A,swallowing
23.003395,F,swallowing
23.003422,C,swallowing
23.003444,D,swallowing
23.203299,J,idle
23.203355,K,idle
23.203427,K,slurping,0
23.203427,J,slurping,0
23.403405,I,swallowing
23.403673,H,swallowing
24.003446,G,idle
24.003457,B,idle
24.003471,E,idle
24.003472,A,idle
24.003494,C,idle
24.003515,A,slurping,1
24.003517,G,slurping,2
24.003517,E,slurping,2
24.003518,B,slurping,1
24.003519,D,idle
24.003594,F,idle
24.003545,C,slurping,0
24.003628,D,slurping,2
24.003641,F,slurping,1
24.203510,K,swallowing
24.203512,J,swallowing
24.403486,I,idle
24.403567,I,slurping,0
24.403756,H,idle
24.403815,H,slurping,0
25.003620,A,swallowing
25.003632,G,swallowing
25.003657,E,swallowing
25.003670,B,swallowing
25.003679,C,swallowing
25.003705,D,swallowing
25.003708,F,swallowing
25.203602,K,idle
25.203628,J,idle
25.203681,J,slurping,2
25.203686,K,slurping,1
25.403643,I,swallowing
25.403897,H,swallowing
26.003712,G,idle
26.003720,A,idle
26.003742,B,idle
26.003749,C,idle
26.003779,G,slurping,1
26.003785,B,slurping,0
26.003806,A,slurping,1
26.003808,C,slurping,2
26.003812,F,idle
26.003820,E,idle
26.003845,D,idle
26.003856,E,slurping,0
26.003863,F,slurping,0
26.003870,D,slurping,2
26.203764,J,swallowing
26.203770,K,swallowing
26.403741,I,idle
26.403869,I,slurping,1
26.403980,H,idle
26.404038,H,slurping,2
27.003861,B,swallowing
27.003891,A,swallowing
27.003897,D,swallowing
27.003900,C,swallowing
27.003863,G,swallowing
27.003933,E,swallowing
27.003960,F,swallowing
27.203862,J,idle
27.203871,K,idle
27.203969,J,slurping,1
27.203990,K,slurping,0
27.403950,I,swallowing
27.404144,H,swallowing
28.003961,B,idle
28.003973,C,idle
28.003969,A,idle
28.003987,G,idle
28.003997,D,idle
28.004028,E,idle
28.004034,B,slurping,2
28.004038,C,slurping,2
